comment,emotion
"Niewiem czy ktos zna ale mulciks jeszcze przypomina postać z kreskówki ,,Totalna porażka""",SURPRISE
Hejka Tritsus mega śmieszny odcinek dziś wrzuciłeś 😃😃.,JOY
"Aż się wzruszyłam jak Yuri powiedział ze uklęknął przed inkubatorem jak zobaczył Edzia ❤😢 jesteście cudowni, zdrowia dla Was i Waszego synka ❤",JOY
Mój wewnętrzy spokój właśnie wybuchł po tym jak przestawiłeś ten obraz,FEAR
"Duży props, szybkie żarty, dużo tematów, porypany humor, niestandardowy, byłem na żywo i boki zrywałem",JOY
🌟Jak sie przywalą o to to będę musiała po prostu...oskarżyć ich o rasizm 🌟 Umarłam 🤣🤣🤣🤣❤️,JOY
Ze szkoły się wróciło a tu film u miedzińskiego dzień staje się odrazu fajniejszy,JOY
"Jako mloda lekarka, dziekuje Wam za ten film🙂 Uświadamia bardzo wiele istotnych rzeczy🙂 Wam wysylam duzo wsparcia i trzymam kciuki za Waszego synka☺️💕",LOVE
Po prostu was uwielbiam. Trafiłam na wasz kanał zupełnie przypadkiem i ... Chyba tu zostanę 🙂,LOVE
Pozdrawiam prawdziwy drugi komentarz LOL ale w ogóle na moim treningu piłkarskim zdarzyło się tak że ja z przeciwnej drużyny podeszłem do trenera i po prostu robiłem taką esse,JOY
Aga zapomniałaś jeszcze o lipstikach . Razem z konturówką do ust wygląda lepiej. Super film ! Byle było ich więcej .❤️🔥💪🏽,LOVE
💚💚Miłego oglądania wszystkim widzą paliona 💚💚,JOY
"Dużo osób wyśmiewa gale freak'owe, że ble i tutaj mamy prawdziwą sportową konferencje, i że tak to powinno wyglądać. Pod względem merytorycznym to całkowicie inna konferencja, wiadomo, ale oprawa tutaj to tragedia, te ""pseudo"" sportowe gale mają 100 razy lepsze oprawy graficzne konferencji, tutaj wygląda to po prostu tragicznie i biednie. W KSW leży też marketing, komuś kto nie interesuję się mma ciężko jest dowiedzieć się że gala juz w sobotę, brak jakichś większych promocji walki Mameda i Pudziana, przecież o tym powinien wiedzieć i mówić każdy, bo ta walka zdecydowanie ma taki potencjał. Niech KSW uczy się czegoś od freakowych federacji, bo jak te dwie legendy skończą karierę mogą nadejść kruche czasy i zainteresowanie będzie mocno spadać.",SADNESS
Może poraz trzeci się uda 🤭 Pozdrawiam 🦾🐗 PS: Wesołych Świąt 🎅🎊,JOY
",,[…]cieszył się jakby strzelił.” mija dosłownie sekunda ale pozostaje wrażenie jakby minęło dłużej … ,,xD”",JOY
Gdzie dostać takie kozackie kalendarzyki 😁,JOY
"Teledysk mi się podoba lepsze w chuj od ""Zielone"" i ""Zielone 2"" nawet by się słuchać dało",LOVE
Szczerze „Czerwone” mi bardziej siedzi niż „Zielone 2” (moja opinia)❤❤,JOY
mieszkam w londynie i twoj akcent to typowy „brytyjski” akcent turystóww😭😭😂😂,JOY
"Na samym początku jak ponownie otworzyłas kanał będąc już w genezie mowilas, że w każdym odcinku chcesz opowiadać jakaś historię o tobie/z twojego życia. Zauważyłam, że już przestały się pojawiac. Czy to już koniec? :( One były bardzo ciekawe",SADNESS
"Dzięki Pezet, że mogę być częścią tego numeru🖤✌🏼",LOVE
"Jeden przekręt. Od samego początku. FIFA, to jeden przekręt",ANGER
"szkoła, ciumkaj loczki , naruciak i święta to coś na co czekam cały rok kocham",JOY
Jakbyś zauważył to niektórzy mieli też tatuaże z 3 gwiazdkami😉,SURPRISE
Dla mnie najlepszym piłkarzem jest mekambe🤣,JOY
"nie czaje fazy, kazdy pisze ze gwiazdy kupuja suby na fejmowo. moze i tak, ale nie oni lol",SURPRISE
Ten Dominik: Mmmmmm Ble! Smakuje strasznie sztucznie,SURPRISE
Kulturalna pełna klasy konferencja to to co najlepiej się ogląda,JOY
był jakiś typ który miał tak samo jak ronaldo nazario tylko zamiast takich krótkich miał dredy,JOY
"Najlepsze w tym wszystkim jest to, że komendant nie odpowiada za to tylko jest poszkodowany a ja jadąc samochodem 20 za szybko jestem przestępcą",ANGER
Będę tęskniła za genzie i za codziennymi filmami po szkole już tęsknię,SADNESS
Po prostu kozak nic dodać nic ująć widać że staranie fest pozdrawiam :D,JOY
"Wniosek z tego płynie jeden MŚ w Katarze to porażka........ Kilku bogaczy miało kaprys zorganizować mistrzostwa, to je sobie kupili.Ta impreza straciła na wyglądzie i znaczeniu.......",ANGER
"Czekałem na powrót tego jedynym w swoim rodzaju duetu z prawdziwym dobrym przekazem 💪wogule teledysk sam w sobie jest pierwszą klasą, bo dawno niebyło takiego pozytywnego klipu 🙂👌pozdrawiam .",JOY
i Zuza nawet dwie i lubię je i mają fajne imię,JOY
A z czego chcesz mieć wnętrze? Z metalu? Ale masz masz racje w sumie bo ten plastik się zaraz rozwali,ANGER
Tyle mięsa na tym kanale to jeszcze nie było 🤣🤣 Ale Panowie jak dzieci wpuszczone do Toys R'us ❤️,JOY
Prosze o pokazanie paczek Edzia! Siostra jest w ciazy i ten temat bardzo mnie interesuje. Jestescie cudownymi rodzicami Edzio ma szczescie❤,LOVE
"najgorsze jest to że oni mają dzieci, rodzinę, osoby które za nimi tęsknią po ukrainskiej i po rosyjskiej stronie tak samo",SADNESS
Wiczka bardzo jesteś super zawsze jak dostanę powiadomienie z twojego kanału odrazu wchodzę na Twój kanał bardzo to było miłe jak zobaczyłaś hanie w sklepie na obrazku i powiedziałaś że jesteś z niej dumna bardzo cię lubię i super odcinek super że robisz takie super odcinki tak trzymaj <333,LOVE
Też bym się tak śmiała 😂,JOY
Budda twoje filmiki są zajebiste nawet ksieża we Włoszech oglądaja pozdrowienia,LOVE
"Zróbcie tą serię, będzie jak film instruktażowy dla paprochów-""fachowców "" Jak to się robi, jak robią to prawdziwi mechanicy, i pasjonaci motoryzacyjni i wizjonerzy🙃 znający się na rzeczy, Chętnie obejrzę jaki będzie efekt prac w poszczególnych etapach,",JOY
"Sztos i tyle w temacie, jeden z lepszych coverów, o ile nie najlepszy ❤️",LOVE
To wszystko jest jasne i logiczne o czym Panowie rozmawiają. Dużo ludzi tak myśli i mają takie samo zdanie. Jednak jak odróżnić pisowską marionetkę która z automatu jest przestępcą i nosi mundur. Super wywiad. Pozdrawiam.,JOY
"Ludzie to bestie, zniszczą świat A na końcu sami , poumierają z głodu..",ANGER
Koks nuta będę słuchał na wyciszonych słuchawkach 😏,JOY
"Mocno czekałem na nowości od Białasa i to jest naprawdę dobre. Zajebista Ep, dzięki Beezy🎉",LOVE
"Nielegalnie przewiózł przez granice granatniki, umieścił w gabinecie, wiedział co dostał. W to ze to miał być złom nie wierze. Kto wiódłby złom!!! Za kraty i tyle. To nie jest ofiara tylko osoba, która dopuściła się czynów karalnych i powinna być uczciwie osadzona",ANGER
Zawsze jak zawsze gram w Fifę i sobie to puszczam i słucham to zawsze wygrywam to dzięki za piosenki Essa ESO,LOVE
POV: włączyłeś komentarze żeby się dowiedzieć kogo przypomina 😅,JOY
"przekaz mocny i jasny, to się podoba, czekam z zaciekawieniem na dalsze kroki.",JOY
Współczuje operatorowi który musi czekać z degustacja 😁,JOY
Podstawowym problemem jest korupcja. Jest to coraz bardziej widoczne a w UE szczególnie. Zobaczymy jak daleko to pójdzie....,ANGER
"18:27 fajnie, że jesteś Panie Klawiatur. Znośnego tygodnia wszystkim! Ta piosenka na końcu musi zostać.",LOVE
Dużo zdrowia dla Waszej trójki i każdego kto to czyta ❤️,JOY
W końcu coś świeżego w Polsce i z tekstem nie banalnym coś pięknego,JOY
"bardzo mocny numer, nie ma lepszej daty na publikację niż kilka dni przed świętami",JOY
Przekozak aż brak mi słów na opisanie tego arcydzieła 🤩 Pozdro 🏁,LOVE
Fajnie by było usłyszeć Szpaka i Boska super zestawienie mam nadzieję że to dojdzie do skutku. ARGENTYNA VAMOS,JOY
Dziwna zamiana piłek w przedostatniej konkurencji ;) 22:10 /22:20,SURPRISE
Jedna z najlepszy piosenek influ 🔥 Przekaz głęboki ❗️Głos fenomenalny 👌🏻,JOY
ZAMÓW PREORDER ➡ https://dobziludzie.com wróciłem. spokojnie.,SURPRISE
Polska Wersia jak wino czym starsze tym lepsze pozdro🔥😁,LOVE
Wiedziałam że to tak pęknie wszędzie xdddd,JOY
Kocham Anastazije 🥰 szkoda że mało śmiechów Sergieja slychac ;)),LOVE
"Byłem na żywo, absolutna topka standupu w Polsce 🔥",JOY
Zaczęłam oglądać Andziaks i Lukę po zeszłorocznym vlogmasie u Ciebie Kretko. Wcześniej nie wiedziałam o ich istnieniu xD Zapraszam do mnie na kanał o rodzinie polsko-tureckiej ♥️,LOVE
I znowu ryczę 😢 Jesteście cudowni. Dużo sił i wytrwałości wam życzę ❤ No i oczywiście zdrówka 😊,SADNESS
świetne moja mama używa tego do poganiania starego do roboty💚,JOY
Białas to jest aż za mocne. Kocham Cię,LOVE
",,Dwie rzeczy na tym świecie wydają się nieskończone wszechświat oraz bezmiar ludzkiej głupoty chociaż z tym pierwszym to mogę się mylić "" patrząc na naszych polityków którzy mówią że inflacja jest dobra dla gospodarki chyba w te słowa wierzę",ANGER
Proszę nie kończcie tej serii. Pan Leszek jest taka osoba że można całymi dniami go słuchać <3 w pracy zamiast muzyki na słuchawkach mam pop science :),JOY
Edzio widziałem cię na treflu sopot na hali 100 lecia dasz serce mój idol☺,JOY
Mam na imię Lena a w dodatku 9 to moja ulubiona liczba💜😘😀😍,SURPRISE
"Wczoraj gówniarz, dzisiaj facet! Świetny track Panowie",JOY
Przed włączeniem chciałem pograc na kompie 🔥🔥🔥🔥🔥 po włączeniu mam myśli odstrzelenia się 🔥🔥🔥🔥🔥,ANGER
"oryginał nadal lepszy, Sanah nie udało ci się stworzyć tych emocji przez dodanie za dużo swojego stylu śpiewania",SADNESS
"Cieszę się, że jest Was takich dwóch, których swietnie się ogląda. Klimat, który tworzycie jest nieziemski. 👍",JOY
Gdy wyszedł ten odcinek jestem w trakcie oczekiwania na pociąg intercity który spóźnia się mi 1.5h pozdrowienia dla każdego kto też jest w tej sytuacji.,ANGER
Legenda krazy ze byl pierwowzorem Ghost Ridera (kto nie wie o co chodzi polecam obejrzec jakis jego mecz kiedy byl mroz... bedziecie wiedziec),JOY
"A właśnie oglądałem twój ostatni film o Czerwonym Kapturku i myślałem sobie: ""Ciekawe kiedy Miedzinsky wypuści kolejny...."" I dostaję powiadomienie o tym filmie XD Genialny jak zwykle oczywiście",JOY
Może poraz trzeci się uda 🤭 Pozdrawiam 🦾🐗,SADNESS
"Szkoda tych wszystkich zawodników, ktorzy dali z siebie max. To pseudo-widowisko obrzydziło cała galę i wyglądało jakby Pudzian perfidnie wyszedł po kasę lub coś przedawkował, ewentualnie taki przekręt lub reżyserka jak w walkach Pudzian - J.Thompson, Mamed - Sakurai 1, Juras -Sokodjou i Mamed - Karaouglu etc. Wszystkie walki po powrotach lub z groźbą przegranych itp Cudowne ozdrowienia wygodnych organizacji bohaterów, werdykty przez całe lata razily po oczach. Tutaj nawet zachowanie po walce śmierdzi, już nie mówiąc, że Pudzian bral Mameda jak piórko dzien przed na filmie ksw i wszyscy byli tacy aż nadto radośni",SADNESS
Paweł szacun za dotrzymanie słowa i wyglądasz bardzo dobrze 😁,JOY
Dobre dobre 😅😂🤣 Kuba znokautowany 🤣😂😅,JOY
"Włoskie samochody nie kocha się za wykończenie , tylko za silniki ich dźwięk i osiągi .",JOY
Szkoda mi ciebie przes tą matkę😂,JOY
Kiedyś to śpiewałeś ona mnie nie chce ale mam plan....... A teraz śpiewasz 💚PALION💚 imperium wielki jak Rzym,JOY
Zatem Łukasz naszym bohaterem :) Kickster proszę dotrzymać słowa w sprawie Motoznafcy 😂,LOVE
Nie mogę przestać słuchać próbuje się nauczyć extra,LOVE
Według mnie jesteś najlepszym youtuberem na świecie!,LOVE
Walka o ojcostwo Mateusza już 18 Marca a patrząc na jego ostatnią walkę cos czuje że wysuwa się nam jawny faworyt,FEAR
Przepiękny pokoik.Taka zieleń uspokaja.Więc życzę Wam spokoju i szczęścia❤️,JOY
BŁAGAM O WIĘCEJ TAKICH ODCINKÓW XDDD,JOY
Jestem Białorusinem i przez cały miesiąc oglądałem z tobą piłkę nożną! dziękuję) teraz znam polski lepiej niż na kursach),JOY
"Z chęcią obejrzałabym taki film z lexy chaplin, bo wielbiam wasze duo. bardzo ładne studio werka!😍",LOVE
"Nie wiem, dlaczego ludzie chcą prowadzić, przecież lepiej pić.",SURPRISE
Dobry odcinek. To jest niesamowity przeskok skilla w tej gierce xD,JOY
Ależ piękny pokoik dla Edzia😍❤ wszystko zaprojektowane superowo😃 ojj będzie inspiracja dla mnie😁,LOVE
"Wzruszam się na samą myśl, jak taki malutki okruszek swoim niespodziewanym przyjściem, wiele dobrego wniósł w Wasze życie i życie innych ludzi. To niesamowicie piękne, że dzięki Edziowi i Jego wspaniałym rodzicom, tak wiele maluszków będzie miało szansę na lepszy start w życiu. Życzę ogromnego sukcesu zbiórce, a Wam samych życzliwych ludzi wokół siebie ❤️. Cudownie patrzy się na Waszą miłość do siebie i do Edzia ❤️. Już nie mogę się doczekać, kiedy będziecie w domku razem 🥰.",LOVE
szczerze? po obejrzeniu finału (a w nim urywków pracy zza kulis) pomysłałam sobie „chciałabym zobaczyć jak oni to zorganizowali”. jestem pod OGROMNYM wrażeniem mobilizacji i wiary w ten projekt i tych ludzi. wielki szacun!,SURPRISE
"Kocham Pietrasa za To ""no cóż taki jest sport Niemcy z grupy nie wyszli"" kochammmm😆💗",LOVE
"Ja dalej czekam na sequel Teletubisiow. To był wspaniały horror, szkoda, że teraz by nie wyszedł, bo nie ma czarnych postaci...",SADNESS
"Fajnie się patrzy na Wasze szczęście 🥰 pokój jest przepiękny 😍 bardzo się cieszę, że Edzio tak dobrze sobie radzi, wszystkiego dobrego dla Was ❤️",LOVE
Kocham twój vibe! Miłego oglądania wszystkim!! Naprawde dobrą robote tworzysz i robisz!♡ love you..,JOY
Niedziela od razu lepsza😂pozdrawiamy z BIESZCZAD💪,LOVE
"Kochani... płaczę ze wzruszenia.. gratuluję z całego serca ❤️ a szpital na Żelaznej jest poprostu najlepszy. Pracują tam Anioły, dzięki którym też urodziłam cudownego synka. Do końca życia będę im za to wdzięczna. Uściski dla Was!",LOVE
Świetna nuta jeszcze lepsza akcja ze schroniskiem Warto Pomagać ❤,JOY
Czemu oni se w myślach czytają ?,SURPRISE
"Patrząc na Was widac taki Spokuj,Miłość, Radość 🧡🧡🧡 Zawsze biła od Was cudowna energia ,ale teraz to coś pieknego patrzeć na Was ,oglądać Was 🧡🧡🧡 Cudownie ,że powoli wracacie ,oglądam Wasze wszystkie filmy 🧡😍 Dziękuję pięknie za film 🧡🧡🧡 Wysylam Moc Miłości 🧡🧡💙",LOVE
"Choć nigdy nie komentuje- ten film wzbudził we mnie odrazę do Pauliny i współczucie dla Majkela. Widać, że włożyłeś dużo chęci, pomysłów i pieniędzy na wiele fajnych różnorodnych prezentów. Myślę że większość dziewczyn byłaby baaaardzo zadowolona i wdzięczna. Przykro mi, że otrzymałeś taki feedback od swojej dziewczyny. Myślę, że gdyby mój chłopak tak zareagował następnym razem dostałby słoik ogórków.",SADNESS
Córka mówi dla mamy imię Rosalka :) ❤,JOY
Za te osiągnięcia dożywocie się należy.,ANGER
Nela bardzo dużo się zmieniła a i tak jest taka słodziutka 💗,JOY
Panowie w formie od lat ! Tekst brylant ;),LOVE
"To jest piękne, chce taki album w tym klimacie",JOY
"- ""Jesteśmy umówieni?"" - ""Tak"" Zajebiście, ale gdzie i kiedy? XD",JOY
Dawno nie widziałem czegoś tak dobrego. Jest forma!,LOVE
Ale narobiliście ochote na pierogi panowie,JOY
Pamiętam te czasy jak on prowadził zawody !!! Jak dla mnie to jedyny jak dotąd arbiter z charyzmą jak żaden inny !!!,LOVE
Ja - nie wyrabiam się z pracą więc musze nadrabiać w niedzielny wieczór. Również ja - przez kilka minut oglądam jak pomarańcza przetacza się po poduszce u Klawitera.,SURPRISE
Dobra to już po trailerze widać że mocno będzie. Uważam że będzie 2 miliony wyświetleń w dzień i koder się zdziwi,SURPRISE
"Podoba mi się jak panowie szczerze ciesza sie z przygody swojego mlodego kolegi z redakcji , bez zazdrosci spiny wrecz z ojcowskim czy takik wujowskim zadowoleniem, piękne.",LOVE
"Tylko zobaczyłam, że ""po radziecku"" i już wiedziałam że to będzie piękny odcinek",JOY
Karbonit a potężne to były w204 6.3 wolno ssące z kompresorem dołożonym,LOVE
Niesamowite jak ta pomarańcza ożywiła ten odcinek! Kolor pomarańczowy świetnie pasuje do tego szarego studia. Czy w następnych odcinkach będą gościły inne owoce i warzywa ?,LOVE
"Cofnąłem się do wspaniałych lat 2000 PL Rapu. Takich płyt jak Eternia, Muzyka Poważna... .Klimat, Magia 👍",JOY
",,We are number one, ale każde one jest zastąpione całym scenariuszem filmu o pszczołach"" Miedzinsky 2020",SURPRISE
"Bartek powinien iść do kabaretu,zjadłabym te wszystkie pyszności 😊😊💗",LOVE
"To jest takie piękne po prostu inna odmiana ciebie i to mi się mega podoba ❤❤ Mega szacun 💜💜 Będzie słuchana mam nadzieję, że 24/7 💙💙",LOVE
"Nie no Bartek jest jeden z moich ulubionych członków🤣mimo, że jest montażystą",JOY
Oglądalam na żywo....Paweł wymiatasz..fajnie było sobie przypomniec😁🤣🤣,LOVE
Każdemu się wydaję że za tą cieszynką jest jakaś historia a na naprawdę po prostu Messi polubił tą cieszynkę,LOVE
MIŁEGO OGLĄDANIA FINAŁU ŻYCZĘ WSZYSTKIM 🎉💕,JOY
Ale czy to naprawdę koniec tego kanału... Jeśli tak to nie usuwajcie chociaż filmów żeby dało się co wspominać Dziękuję wam wszystkim za te wspaniałe wszystkie lata,SADNESS
ale ogień 🔥🔥🔥 najbardziej dojebana nuta jaką słyszałem (jestem głuchy od urodzenia),LOVE
"da sie to oddac XDDDDDDDD ale ona taka niezbyt wdzieczna jest, az mi cie szkoda majkel",SADNESS
Kochani Nasi dla Waszej rodzinki Błogosławieństwa Bożego na każdy kolejny dzień ♥️♥️♥️. Dużo zdrówka i siły.🙂😍😘,LOVE
I jeszcze czekamy na palion-różowe. Palion-pomarańczowe palion-tęczowe palion-wszystkie kolory,JOY
"Dobrze było! Fajnie się tą walkę oglądało mimo, że werdykt był kontrowersyjny",JOY
myślę ze jak by ekipa nie wiedziała z jakiego kraju te pierogi to ten test był by bardziej rzetelny,ANGER
"Aniu dobrze, że Cię mamy!! Twoja energia, uśmiech i to jak witasz gości, ach kochana Jesteś🏡❤",JOY
Normalnie mi się płakać chce jak widzę reakcje ludzi i to jacy oni są szczęśliwi,ANGER
JAK MNIE SKRĘCIŁO W ŻOŁĄDKU NA TYM OSTATNIM XDDDD,SURPRISE
"Świetny kawałek, jeszcze teledysk nagrany w Gdańsku-Zaspie, perfekcyjnie <3",LOVE
Fajnie widzieć jak bawicie się dobrze na tym klipie. Dużo uśmiechu Panowie!,JOY
",, Siekiera, motyka, szybkie cięcie choinka z lasu prosto będzie!"" Kocham te wasze te wasze teksty 🙂🥰😘♥️ Pozdrawiam",LOVE
Mój pies się nazywa Aston <3 Od Aston Martin,JOY
no i znowu jestem głodny- dzięki za przepis lecę po mięsiwo;P,JOY
Więcej agresywnych rzeczy mniej virali na tiktoka,JOY
Nie mogłam się doczekać filmu. Jestem pełna podziwu i zachwytu jednocześnie. Chyba każdy fan Harrego Pottera chciałby mieć taką cudowną imprezę jako zorganizowaliście dla Jędrka,LOVE
"W sedno, super podsumowanie. Podziwiam Pana i reszte wolnościowego środowiska ze Wam sie chce przekonywać tych ludzi ogłupiałych telewizyjna propagandą. Ale kropla drąży skalę. Pamietam jak była walka wiele lat o 3% a teraz sondaże dają 6-8% lekko. Respekt ! I do przodu",LOVE
"Jedyna piosenka z natsu world, która mi tak siada... Ala, wiem z czym się mierzysz - ja też z tym dziadostwem walczę . Nie jest łatwo, mało kto rozumie, ale aby oceniać każdy pierwszy... Jesteś w opór dzielna. Ściskam mocno ❤️",LOVE
Bardzo celna uwaga biorąc pod uwagę że jeden z posłów PiS Porzucek wypowiedział się że komendant mógł pomylić granatnik z w stylizowaną butelką alkoholu. Pozdrawiam,SURPRISE
"17 GRUDNIA 20:00 POJAWI SIĘ ""PALION - ZIELONE 2"" długo wyczekiwane! 🤑",JOY
Gdy Kacper Rietz doda film dzień się staje lepszy Ps sprawdzone,JOY
"PŁACĘ DZIWKO ZA BŁĘDY, BO PIERDOLE PŁACIĆ ALIMENTY",ANGER
Dziękujemy TVP sport za tak szybkie skróty mundialów dziękujemy!,JOY
Najlepsza ze wszystkich nutek twoich cudooooo pozdro.,LOVE
Dałnie czy rozumiesz źe Messi dostał gwiazdke podczas oddawania pucharu,ANGER
I można pięknie żyć 😉🤣 trzymam kciuki za kampanię oraz liczę że będzie więcej niż 10 %,JOY
Panie Wojtku!!! Prosimy o więcej 😃,JOY
"Dla profesjonalnego mechanika nie ma takiej usterki, której nie dałoby się naprawić taśmą klejącą.",JOY
Więcej tu klimatu wiedźmina niż w całym serialu Netflixa. Kilka prostych ujęć w odpowiednich sceneriach i mamy to. Super!,LOVE
Super się ogląda na codzien mieszkamy w Holandii a dziś oglądamy Was na Gran Canaria . Pozdrówcie Karolinę i Krzyśka z Eindhoven Holandia. Pozderki,LOVE
"Lubię Was, taki luz którego brakuje większości 🤴👸",JOY
"Gibbs to jedyny tworca muzyczny w polsce, ktory naprawde nie ma zlych kawalkow. Kazdy kawalek z nawijka gibbsa jest na swoj sposob dobry. Kozak",JOY
Twitch czeka na odcinek zamiana ról z Natsu,JOY
pov: Kiedy mama chce być nowoczesna,FEAR
"Tia, ta Kidawa jest ciągle na haju, wystarczy posłuchać jej przez kilka minut .",ANGER
"Mam nadzieję, że teraz filmiki będą na bieżąco dodawane. Rozwijaj się dalej! ❤️",JOY
Ewidentnie potrzebuje więcej Szpaka w takim stylu na takich instrumenalach. Może kiedyś wypuści te Lochy i Smoki,JOY
"""Każdy z nas ma gdzieś w sobie to dobro gorzej kiedy na tym cierpi nasza godność"" im dłużej chodzę po tej ziemi tym bardziej przekonuje się że brak kręgosłupa moralnego zaprowadzi Cie dalej niż jego posiadanie. Tylko co później ze spojrzeniem w lustro...",SADNESS
To ile pracy jest włożone w te materiały to kosmos! Tworzysz niepowtarzalny klimat w filmach. Obyś zawsze już tworzył takie cuda.,LOVE
"Jesteś świetny, pozdrawiam i nie daj się zmienić pod naporem kurestwa",JOY
Uwielbiam twoje odcinki zawsze poprawiają mi humor i mam te same karty tylko w robionym kalendarzu,JOY
zawsze mi poprawiasz humor akurat jak tego potrzebuje<3 dziekuje kamil,JOY
Pod tym Shortem pierwsze co usłyszałem to Dawid xd,JOY
Kolejny odcinek musisz koniecznie nakręcić Szafrańskim i jego merolem evo !!,JOY
"Claus jest z ciebie Mati dumny! Wykonałeś swoje zadanie domowe, piątka, siadaj.",JOY
Już martwiłem się co będę oglądał do jedzenia… a tu nowy odcineczek😮‍💨 Dziękuje bardzo Panie Drewniak❤️,JOY
"To był wspaniały mecz, nie zapomnę go nigdy!",LOVE
"Mortalcio jesteś super youtuberem! Myślę, że będziesz miał mega sukcesy w tym świecie influ😀 Ps; Marcel super głos 😀",SURPRISE
super nuta ! dobrze brzmi na wyciszonym telefonie,JOY
Wspaniale wygląda i na pewno doskonale smakuje dziękuję pozdrawiam,JOY
O KURWA ALE BUJA🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥BEDZIE SLUCHANE🔥🔥🔥🔥🔥🔥🔥🔥NA WYCISZONYCH GLOSNIKACH,LOVE
"""Aż mi się chce bzykać"" - Adam Flayman 2007",ANGER
Taki z niego Francuz jak ze mnie Chińczyk 😂😂😂,ANGER
Każde Twoje pożegnanie od wielu tygodni wywołuje u mnie natychmiastowy uśmiech. Dzięki Kuba!,JOY
WESOŁYCH ŚWIĄT NARUCIAK!! kochamy twoje filmy!! proszę zrób maraton świątecznym,LOVE
"Z takim rozmachem wydaje mi sie ze na spokojnie mógłbyś robić najwyższej klasy światowej filmy, pieknię to wygląda mordeczko.",LOVE
Królestwo Edzia jest przepiękne ! 💙 Kochani życzę wam wszystkiego dobrego ! ♥️🥰😘,LOVE
Dziękuję wam za ten przeżyty rok! Był wspaniały MIŁEGO OGLĄDANIA,JOY
"Do 80 minuty Francuzi wyglądali w tym meczu jak Polacy :D A powiedziałem do kumpli 2:0 niebezpieczny wynik :D Wspaniały to był finał, nie zapomnę go nigdy",LOVE
Jestem pod wrażeniem jak Werka dobrze jest przygotowana do odcinków i ma mega wiedzą na sporo tematów co się dzieje i jak działa na świecie 🤯👏👏,SURPRISE
Wreszcie wyścig fajnie że nie przerywasz seri za to+,LOVE
"Okej, to mnie rozpieprzylo od środka, piękna piosenka,dziękuję za tyle emocji.",LOVE
Śliczny pokoik Edzio będzie fajnie mieszkał Wszystkiego dobrego 👍👍👍 Pozdrawiam 😀😀👍👍,JOY
Aga! W tej kolekcji są jeszcze pomadki. Są one dopasowane do kolorów konturówek. Ja osobiście bardzo te pomadki lubię.😀,JOY
Też bym chciała mieć taką ciocię z Ameryki ❤,JOY
"Dojebane jak każdy Wasz kawałek ! Panowie czekam na koncert w Białymstoku, pozdro ✌🏻",LOVE
Pyszna salatka idealna.. Na święta to mistrzostwo pozd.,JOY
Odczinek u jacoba i dzień staję się lepszy❤️,JOY
12 potraw Pana Tomasza... To musi być bajka przy wigilii. Pozdrawiam,JOY
Zadbany egzemplarz 😊 Pochwalam naprawę poprzez uturbienie 😀,JOY
I nagle dwa moje ulubione kanały na jednym brawo panie Patryku! I szacun że poszło bez cenzury nie spodziewałem się :),LOVE
"Z niezłym opóźnieniem, ale ta część 2 to musiała wyjść. XD",JOY
"Jakie to musi być zajebiste uczucie. Wrzucasz nute po tak długim czasie i tysiące osób piszą, że czekali na ten dzień latami",JOY
Słychać tylko jedno że ten niby komik to ma jakieś trzaski w głowie,ANGER
Nie mogłem się skupić na słowach jak oglądałem ten teledysk,SURPRISE
"Przecudny odcinek,usciski dla was wszystkich kochani🤶☃️👼❄🤶🌲🤶🌲",LOVE
"Dzieki,dzięki, w oleju pychotki te zapewne jeszcze lepsze.Robię",JOY
"Miłego dnia, kocham WAS pysiaczki i proszę wygrajcie bańkę!",JOY
"BOŻE KOCHAM CIE , TWÓJ GŁOS , TĄ PIOSENKE I TEN TELEDYSK 🛐🛐🛐🙏🙏🙏",LOVE
Nie oglądałam bo ja się tym nie interesuje.. ale widze ze ten „MBappé” jest jedynym dobrym piłkarzem,SURPRISE
"Chwyciło nuciwo za 🖤 i prędko nie puści. Refren sztos i przewijam jak opętany ! 🔥 A strój dinozaura będzie niebawem ubrany, aby było mnóstwo z ukochanym dzieckiem zabawy. Dziękuję Wam za ten utwór 💪🏻🎧💪🏻",LOVE
Wspaniały materiał na masaż mięśni brzucha. Uśmiałem się jak norka.,LOVE
"Jako mama dwójki wcześniaków mogę Wam powiedzieć, że to bardzo silne dzieci. Zaskakują każdego dnia swoim silnym charakterem,jak i witalnością 💪 dużo zdrówka dla Edzia,lada chwila będzie z Wami 💕",LOVE
No teraz już wiadomo co będzie hitem przy wigilijnym stole i sylwestrze!🚗👼🐟🎆🎉🍷🚘,LOVE
Jako położna dodam tylko - dziękuję za ten film! ❤️ dużo zdrówka dla całej rodziny!,JOY
Ogień 🔥🔥 bilet na 22.04 juz kupiony nie moge sie doczekac będzie ROZPIERDOL🔥🔥🔥,LOVE
Nam wrażenie ze lektor już jest sławniejszy od samego mbeppe 😂😂😂tym mekambe,JOY
trafiłam na ten kanał przypadkiem i napewno tu zostanę 🙃,JOY
Dobra Piosenka lepszy nisz Zielone 1 🥳👏 Brawo Palion Ale masz Talent!,JOY
Wiczka bardzo się cieszę z tego że tak się rozwinełaś❤,LOVE
"Nikt na świecie nie robi takiej klasy filmów , poprzeczka jest naprawdę bardzo wysoko ;3",LOVE
